ID,FLIGHT_DATE,FLIGHT_NUMBER,CORRELATION_ID,OPERATION_TYPE,METER_ID,METER_LOCATION,METER_TYPE,METER_STATUS,METER_START_TIME,METER_START_READING,METER_STATUS,METER_END_TIME,METER_END_READING,UNIT_OF_MEASUREMENT,AEROBILL_REMARK,RECONCILIATION_REQUIRED
15930,02-06-2026,6E2148,484038,ARR,PBB10R,G10R,PBB,ON,2026-06-01 22:32:00,0,OFF,2026-06-02 06:48:00,0,NULL,,NO
15931,02-06-2026,6E955,484042,ARR,PBB13R,G13R,PBB,ON,2026-06-01 22:34:00,0,OFF,2026-06-02 06:53:00,0,NULL,Not used: FGP,YES
15932,02-06-2026,6E2148,484036,ARR,FGP10R,G10R,FGP,ON,2026-06-01 22:34:00,4077.4,OFF,2026-06-02 06:45:00,4149.4,KWH,,NO
15933,02-06-2026,6E2730,484028,ARR,PBB12R,G12R,PBB,ON,2026-06-01 22:46:00,0,OFF,2026-06-02 06:09:00,0,NULL,"Not used: FGP, PCA",YES
15934,02-06-2026,QP1430,483974,ARR,PBB17,G17,PBB,ON,2026-06-01 22:51:00,0,OFF,2026-06-01 23:27:00,0,NULL,Not used: FGP,YES
15935,02-06-2026,6E6360,483980,ARR,PBB15,G15,PBB,ON,2026-06-01 23:28:00,0,OFF,2026-06-02 00:14:00,0,NULL,,NO
15936,02-06-2026,6E6360,483979,ARR,FGP15,G15,FGP,ON,2026-06-01 23:30:00,48.5,OFF,2026-06-02 00:09:00,48.5,KWH,,NO
15937,04-06-2026,6E2152,485431,ARR,FGP11L,G11L,FGP,ON,2026-06-04 19:37:00,5097.7,OFF,2026-06-04 20:20:00,5111.3,KWH,,NO
15938,01-06-2026,6E737,484048,ARR,PBB13L,G13L,PBB,ON,2026-06-02 00:31:00,0,OFF,2026-06-02 07:16:00,0,NULL,,NO
15939,02-06-2026,6E6360,484006,ARR,PBB15,G15,PBB,ON,2026-06-02 03:54:00,0,OFF,2026-06-02 04:49:00,0,NULL,,NO
15940,02-06-2026,6E6360,484004,ARR,FGP15,G15,FGP,ON,2026-06-02 03:54:00,48.5,OFF,2026-06-02 04:47:00,62.8,KWH,,NO
15941,02-06-2026,6E6360,484005,ARR,PCA15,G15,PCA,ON,2026-06-02 03:56:00,6150.7,OFF,2026-06-02 04:46:00,6206.6,KWH,,NO
15942,02-06-2026,6E6093,484030,ARR,PCA16,G16,PCA,ON,2026-06-02 05:25:00,1419.4,OFF,2026-06-02 06:30:00,1482.8,KWH,,NO
15943,02-06-2026,6E829,484024,ARR,PCA14,G14,PCA,ON,2026-06-02 05:29:00,5024.5,OFF,2026-06-02 06:05:00,5066,KWH,,NO
15944,02-06-2026,QP2024,484014,ARR,PBB18,G18,PBB,ON,2026-06-02 05:42:00,0,OFF,2026-06-02 05:44:00,0,NULL,Not used: FGP,YES
15945,02-06-2026,QP2024,484050,ARR,PBB18,G18,PBB,ON,2026-06-02 05:44:00,0,OFF,2026-06-02 07:18:00,0,NULL,Not used: FGP,YES
15946,02-06-2026,QP2024,484047,ARR,PCA18,G18,PCA,ON,2026-06-02 05:47:00,2958.9,OFF,2026-06-02 07:13:00,3057.1,KWH,Not used: FGP,YES
15947,02-06-2026,QP1430,484043,ARR,PBB17,G17,PBB,ON,2026-06-02 05:50:00,0,OFF,2026-06-02 06:53:00,0,NULL,Not used: FGP,YES
15948,02-06-2026,6E2148,484035,ARR,PCA10R,G10R,PCA,ON,2026-06-02 05:52:00,6400.7,OFF,2026-06-02 06:43:00,6451.4,KWH,,NO
15949,02-06-2026,QP1430,484040,ARR,PCA17,G17,PCA,ON,2026-06-02 05:56:00,796.6,OFF,2026-06-02 06:52:00,864.3,KWH,Not used: FGP,YES
15950,,,484174,,PCA12L,G12L,PCA,ON,2026-06-02 07:17:00,3590.4,OFF,2026-06-02 14:53:00,3636.6,KWH,,NO
15951,,,484056,,PBB12R,G12R,PBB,ON,2026-06-02 08:07:00,0,OFF,2026-06-02 08:08:00,0,NULL,,NO
15952,,,484058,,PBB12L,G12L,PBB,ON,2026-06-02 08:11:00,0,OFF,2026-06-02 08:11:00,0,NULL,,NO
15953,02-06-2026,QP1831,484071,ARR,PBB15,G15,PBB,ON,2026-06-02 08:47:00,0,OFF,2026-06-02 09:40:00,0,NULL,,NO
15954,02-06-2026,QP1831,484072,ARR,FGP15,G15,FGP,ON,2026-06-02 08:48:00,62.8,OFF,2026-06-02 09:40:00,74.7,KWH,,NO
15955,02-06-2026,QP1831,484070,ARR,PCA15,G15,PCA,ON,2026-06-02 08:50:00,6207.2,OFF,2026-06-02 09:39:00,6273,KWH,,NO
15956,02-06-2026,6E6470,484075,ARR,PBB16,G16,PBB,ON,2026-06-02 08:59:00,0,OFF,2026-06-02 09:47:00,0,NULL,,NO
15957,02-06-2026,6E6470,484074,ARR,FGP16,G16,FGP,ON,2026-06-02 09:00:00,880.4,OFF,2026-06-02 09:44:00,892.7,KWH,,NO
15958,02-06-2026,6E6470,484073,ARR,PCA16,G16,PCA,ON,2026-06-02 09:01:00,1482.8,OFF,2026-06-02 09:42:00,1523.3,KWH,,NO
